network,withinID,start1,end1,network2,withinID2,start2,end2
MFN_L,4,330,370,DMN_R,7,630,670
MON_L,17,1630,1670,DMN_R,10,930,970
MFN_L,11,1030,1070,FPN_L,4,330,370
MON_L,6,530,570,FPN_L,3,230,270
SC_L,7,630,670,FPN_L,3,230,270
MFN_L,10,930,970,FPN_L,1,30,70
MFN_L,11,1030,1070,FPN_L,2,130,170
MON_L,1,30,70,FPN_L,6,530,570
MFN_L,11,1030,1070,FPN_L,8,730,770
MON_L,4,330,370,FPN_L,5,430,470
MON_L,7,630,670,FPN_L,8,730,770
Vis1_L,1,30,70,FPN_L,7,630,670
MON_R,3,230,270,FPN_L,9,830,870
MON_L,1,30,70,FPN_R,12,1130,1170
MON_L,5,430,470,FPN_R,16,1530,1570
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_R,3,230,270,FPN_R,14,1330,1370
MON_L,1,30,70,FPN_R,12,1130,1170
MON_L,12,1130,1170,FPN_R,4,330,370
MON_L,2,130,170,FPN_R,13,1230,1270
MON_L,3,230,270,FPN_R,14,1330,1370
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,12,1130,1170,FPN_R,4,330,370
MON_L,5,430,470,FPN_R,16,1530,1570
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,19,1830,1870,FPN_R,11,1030,1070
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,12,1130,1170,FPN_R,4,330,370
SC_L,7,630,670,FPN_R,18,1730,1770
MON_L,5,430,470,FPN_R,16,1530,1570
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,14,1330,1370,FPN_R,6,530,570
MON_L,19,1830,1870,FPN_R,11,1030,1070
SC_L,11,1030,1070,FPN_R,3,230,270
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_R,2,130,170,FPN_R,13,1230,1270
MON_R,4,330,370,FPN_R,15,1430,1470
MON_R,11,1030,1070,FPN_R,3,230,270
MON_L,6,530,570,FPN_R,17,1630,1670
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,19,1830,1870,FPN_R,11,1030,1070
Vis1_L,1,30,70,FPN_R,19,1830,1870
SC_R,6,530,570,FPN_R,2,130,170
SC_R,7,630,670,FPN_R,3,230,270
MON_L,7,630,670,FPN_R,18,1730,1770
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,8,730,770,FPN_R,19,1830,1870
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,19,1830,1870,FPN_R,11,1030,1070
SC_L,9,830,870,FPN_R,1,30,70
SC_L,11,1030,1070,FPN_R,3,230,270
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_R,3,230,270,FPN_R,14,1330,1370
MON_R,4,330,370,FPN_R,15,1430,1470
SC_R,8,730,770,FPN_R,4,330,370
MON_L,12,1130,1170,FPN_R,4,330,370
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,14,1330,1370,FPN_R,6,530,570
MON_L,19,1830,1870,FPN_R,11,1030,1070
SC_L,11,1030,1070,FPN_R,3,230,270
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_R,2,130,170,FPN_R,13,1230,1270
SC_L,7,630,670,FPN_R,18,1730,1770
MON_L,13,1230,1270,FPN_R,5,430,470
MON_L,14,1330,1370,FPN_R,6,530,570
MON_L,19,1830,1870,FPN_R,11,1030,1070
SC_L,12,1130,1170,FPN_R,4,330,370
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_R,4,330,370,FPN_R,15,1430,1470
MON_R,11,1030,1070,FPN_R,3,230,270
VA_R,1,30,70,FPN_R,17,1630,1670
VA_L,3,230,270,MFN_L,1,30,70
SC_L,12,1130,1170,MFN_L,2,130,170
MON_R,11,1030,1070,MFN_L,7,630,670
MON_R,2,130,170,MFN_R,6,530,570
MON_R,10,930,970,MFN_R,4,330,370
MON_R,11,1030,1070,MFN_R,5,430,470
VA_R,1,30,70,MFN_R,7,630,670
Vis1_L,7,630,670,MON_L,6,530,570
MON_R,2,130,170,MON_L,13,1230,1270
MON_R,4,330,370,MON_L,15,1430,1470
MON_R,6,530,570,MON_L,17,1630,1670
MON_R,11,1030,1070,MON_L,3,230,270
SC_R,8,730,770,MON_L,4,330,370
VA_R,1,30,70,MON_L,17,1630,1670
Vis1_L,8,730,770,MON_L,7,630,670
MFN_R,2,130,170,MON_R,4,330,370
SC_R,2,130,170,MON_R,14,1330,1370
MFN_R,10,930,970,MON_R,16,1530,1570
MON_R,2,130,170,MON_R,1,30,70
FPN_R,8,730,770,MON_R,15,1430,1470
FPN_R,9,830,870,MON_R,16,1530,1570
FPN_R,11,1030,1070,MON_R,18,1730,1770
MON_R,1,30,70,MON_R,14,1330,1370
MON_R,4,330,370,MON_R,17,1630,1670
MON_R,5,430,470,MON_R,18,1730,1770
MON_R,6,530,570,MON_R,19,1830,1870
SC_R,2,130,170,MON_R,15,1430,1470
SC_R,7,630,670,MON_R,20,1930,1970
SC_R,8,730,770,MON_R,21,2030,2070
SC_R,2,130,170,MON_R,19,1830,1870
FPN_R,10,930,970,MON_R,23,2230,2270
MON_R,1,30,70,MON_R,20,1930,1970
MON_R,8,730,770,MON_R,4,330,370
SC_R,2,130,170,MON_R,21,2030,2070
MON_R,5,430,470,MON_R,3,230,270
MON_R,8,730,770,MON_R,6,530,570
FPN_R,12,1130,1170,MON_R,6,530,570
SC_R,2,130,170,MON_R,2,130,170
SC_R,7,630,670,MON_R,7,630,670
SC_R,8,730,770,MON_R,8,730,770
MON_R,1,30,70,MON_R,3,230,270
MON_R,5,430,470,MON_R,7,630,670
MON_R,6,530,570,MON_R,8,730,770
MON_R,12,1130,1170,MON_R,14,1330,1370
MON_R,13,1230,1270,MON_R,15,1430,1470
SC_R,8,730,770,MON_R,10,930,970
FPN_R,14,1330,1370,MON_R,12,1130,1170
MON_R,13,1230,1270,MON_R,17,1630,1670
MON_R,14,1330,1370,MON_R,18,1730,1770
MFN_R,10,930,970,MON_R,6,530,570
MON_R,13,1230,1270,SC_L,5,430,470
MON_R,14,1330,1370,SC_L,6,530,570
MON_R,5,430,470,SC_L,16,1530,1570
MON_R,6,530,570,SC_L,17,1630,1670
MON_R,13,1230,1270,SC_L,5,430,470
SC_R,8,730,770,SC_L,4,330,370
MON_R,3,230,270,SC_L,14,1330,1370
MON_R,4,330,370,SC_L,15,1430,1470
MON_R,11,1030,1070,SC_L,3,230,270
SC_R,8,730,770,SC_L,4,330,370
MON_R,4,330,370,SC_L,15,1430,1470
MON_R,11,1030,1070,SC_L,3,230,270
SC_R,8,730,770,SC_L,4,330,370
MON_R,5,430,470,SC_L,16,1530,1570
MON_R,6,530,570,SC_L,17,1630,1670
MON_R,10,930,970,SC_L,2,130,170
MON_R,11,1030,1070,SC_L,3,230,270
SC_R,7,630,670,SC_L,3,230,270
SC_R,8,730,770,SC_L,4,330,370
VA_R,1,30,70,SC_L,17,1630,1670
MON_R,6,530,570,SC_L,17,1630,1670
MON_R,10,930,970,SC_L,2,130,170
SC_R,8,730,770,SC_L,4,330,370
MON_R,10,930,970,SC_R,18,1730,1770
MON_R,11,1030,1070,SC_R,19,1830,1870
MON_R,13,1230,1270,SC_R,21,2030,2070
SC_R,8,730,770,SC_R,39,3830,3870
VA_R,1,30,70,SC_R,32,3130,3170
MON_R,11,1030,1070,SC_R,36,3530,3570
MON_R,13,1230,1270,SC_R,38,3730,3770
VA_R,2,130,170,SC_R,11,1030,1070
SC_R,8,730,770,SC_R,31,3030,3070
VA_R,1,30,70,SC_R,24,2330,2370
MON_R,14,1330,1370,SC_R,3,230,270
MON_R,19,1830,1870,SC_R,8,730,770
SC_R,8,730,770,SC_R,15,1430,1470
SC_R,7,630,670,SC_R,31,3030,3070
SC_R,7,630,670,SC_R,9,830,870
SC_R,8,730,770,SC_R,24,2330,2370
VA_R,1,30,70,SC_R,20,1930,1970
Vis1_R,8,730,770,Vis1_R,3,230,270
